Group,Element,Name,VR,VM,Basic Prof.,Rtn. UIDs Opt.,Rtn. Dev. Id. Opt.,Rtn. Inst. Id. Opt.,Rtn. Pat. Chars. Opt.,Rtn. Long. Full Dates Opt.,Rtn. Long. Modif. Dates Opt.,Clean Desc. Opt.,Clean Struct. Cont. Opt.,Clean Graph. Opt.,TCIA element_sig_pattern,Final CTP Script
0044,0105,Assertion Expiration DateTime,DT,,remove,,,,,keep,func:hash_increment_date,,,,"(0044,0105)","@incrementdate(this,@DATEINC)"
0050,001b,Container Component ID,LO,,remove,,,,,,,,,,"(0050,001B)",@remove()
0050,0020,Device Description,LO,,remove,,keep,,,,,,,,"(0050,0020)",@remove()
0050,0021,Long Device Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(0050,0021)",@keep()
0062,0021,Tracking UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0062,0021)","@hashuid(@UIDROOT,this)"
0064,0003,Source Frame of Reference UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0064,0003)","@hashuid(@UIDROOT,this)"
0068,6226,Effective DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0068,6226)","@incrementdate(this,@DATEINC)"
0068,6270,Information Issue DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0068,6270)","@incrementdate(this,@DATEINC)"
006a,0003,Annotation Group UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(006A,0003)","@hashuid(@UIDROOT,this)"
006a,0005,Annotation Group Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(006A,0005)",@keep()
006a,0006,Annotation Group Description,UT,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(006A,0006)",@keep()
0070,0001,Graphic Annotation Sequence,SQ,,replace,,,,,,,,,clean_manually,"(0070,0001)",@remove()
0070,0082,Presentation Creation Date,DA,,remove,,,,,keep,func:hash_increment_date,,,,"(0070,0082)","@incrementdate(this,@DATEINC)"
0070,0083,Presentation Creation Time,TM,,remove,,,,,keep,keep,,,,"(0070,0083)",@keep()
0070,0084,Content Creator's Name,PN,,replace,,,,,,,,,,"(0070,0084)",@empty()
0070,0086,Content Creator's Identification Code Sequence,SQ,,remove,,,,,,,,,,"(0070,0086)",@remove()
0070,031a,Fiducial UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0070,031A)","@hashuid(@UIDROOT,this)"
0070,1101,Presentation Display Collection UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0070,1101)","@hashuid(@UIDROOT,this)"
0070,1102,Presentation Sequence Collection UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0070,1102)","@hashuid(@UIDROOT,this)"
0072,000a,Hanging Protocol Creation DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0072,000A)",@keep()
0072,005e,Selector AE Value,AE,,replace,,clean_manually,,,,,,,,"(0072,005E)",@remove()
0072,005f,Selector AS Value,AS,,replace,,,,keep,,,,,,"(0072,005F)",@keep()
0072,0061,Selector DA Value,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0072,0061)",@keep()
0072,0063,Selector DT Value,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0072,0063)",@keep()
0072,0065,Selector OB Value,OB,,remove,,,,,,,,,,"(0072,0065)",@remove()
0072,0066,Selector LO Value,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(0072,0066)",@keep()
0072,0068,Selector LT Value,LT,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(0072,0068)",@keep()
0072,006a,Selector PN Value,PN,,replace,,,,,,,,,,"(0072,006A)",@remove()
0072,006b,Selector TM Value,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(0072,006B)",@keep()
0072,006c,Selector SH Value,SH,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(0072,006C)",@keep()
0072,006d,Selector UN Value,UN,,remove,,,,,,,,,,"(0072,006D)",@remove()
0072,006e,Selector ST Value,ST,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(0072,006E)",@keep()
0072,0070,Selector UT Value,UT,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(0072,0070)",@keep()
0072,0071,Selector UR Value,UR,,replace,,,,,,,,,,"(0072,0071)",@remove()
0074,1234,Receiving AE,AE,,remove,,clean_manually,,,,,,,,"(0074,1234)",@remove()
0074,1236,Requesting AE,AE,,remove,,clean_manually,,,,,,,,"(0074,1236)",@remove()
0088,0140,Storage Media File-set UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0088,0140)","@hashuid(@UIDROOT,this)"
0088,0200,Icon Image Sequence,SQ,,,,,,,,,,,,"(0088,0200)",@remove()
0088,0200,Icon Image Sequence(see Note 11),SQ,,remove,,,,,,,,,,,
0088,0904,Topic Title,LO,,remove,,,,,,,,,,"(0088,0904)",@remove()
0088,0906,Topic Subject,ST,,remove,,,,,,,,,,"(0088,0906)",@remove()
0088,0910,Topic Author,LO,,remove,,,,,,,,,,"(0088,0910)",@remove()
0088,0912,Topic Keywords,LO,,remove,,,,,,,,,,"(0088,0912)",@remove()
0100,0420,SOP Authorization DateTime,DT,,remove,,,,,keep,func:hash_increment_date,,,,"(0100,0420)","@incrementdate(this,@DATEINC)"
0400,0100,Digital Signature UID,UI,,func:generate_hashuid,,,,,,,,,,"(0400,0100)","@hashuid(@UIDROOT,this)"
0400,0105,Digital Signature DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0400,0105)","@incrementdate(this,@DATEINC)"
0400,0115,Certificate of Signer,OB,,remove,,,,,,,,,,"(0400,0115)",@remove()
0400,0310,Certified Timestamp,OB,,remove,,,,,keep,func:hash_increment_date,,,,"(0400,0310)",@remove()
0400,0402,Referenced Digital Signature Sequence,SQ,,remove,,,,,,,,,,"(0400,0402)",@remove()
0400,0403,Referenced SOP Instance MAC Sequence,SQ,,remove,,,,,,,,,,"(0400,0403)",@remove()
0400,0404,MAC,OB,,remove,,,,,,,,,,"(0400,0404)",@remove()
0400,0550,Modified Attributes Sequence,SQ,,remove,,,,,,,,,,"(0400,0550)",@remove()
0400,0551,Nonconforming Modified Attributes Sequence,SQ,,remove,,,,,,,,,,"(0400,0551)",@remove()
0400,0552,Nonconforming Data Element Value,OB,,remove,,,,,,,,,,"(0400,0552)",@remove()
0400,0561,Original Attributes Sequence,SQ,,remove,,,,,,,,,,"(0400,0561)",@remove()
0400,0562,Attribute Modification DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0400,0562)","@incrementdate(this,@DATEINC)"
0400,0563,Modifying System,LO,,replace,,keep,,,,,,,,"(0400,0563)",removed
0400,0564,Source of Previous Values,LO,,blank,,,keep,,,,,,,"(0400,0564)",@empty()
0400,0565,Reason for the Attribute Modification,CS,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(0400,0565)",@keep()
0400,0600,Instance Origin Status,CS,,remove,,,,,,,,,,"(0400,0600)",@remove()
2030,0020,Text String,LO,,remove,,,,,,,,,,"(2030,0020)",@remove()
2100,0040,Creation Date,DA,,remove,,,,,keep,func:hash_increment_date,,,,"(2100,0040)","@incrementdate(this,@DATEINC)"
2100,0050,Creation Time,TM,,remove,,,,,keep,keep,,,,"(2100,0050)",@keep()
2100,0070,Originator,AE,,remove,,clean_manually,,,,,,,,"(2100,0070)",@remove()
2100,0140,Destination AE,AE,,replace,,clean_manually,,,,,,,,"(2100,0140)",removed
2200,0002,Label Text,UT,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(2200,0002)",@keep()
2200,0005,Barcode Value,LT,,blank,,,,,,,,,,"(2200,0005)",@empty()
3002,0121,Position Acquisition Template Name,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3002,0121)",@remove()
3002,0123,Position Acquisition Template Description,LT,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3002,0123)",@remove()
3006,0002,Structure Set Label,SH,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(3006,0002)",@keep()
3006,0004,Structure Set Name,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3006,0004)",@keep()
3006,0006,Structure Set Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3006,0006)",@keep()
3006,0008,Structure Set Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3006,0008)","@incrementdate(this,@DATEINC)"
3006,0009,Structure Set Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(3006,0009)",@keep()
3006,0024,Referenced Frame of Reference UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3006,0024)","@hashuid(@UIDROOT,this)"
3006,0026,ROI Name,LO,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3006,0026)",@keep()
3006,0028,ROI Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3006,0028)",@keep()
3006,002d,ROI DateTime,DT,,remove,,,,,keep,func:hash_increment_date,,,,,
3006,002e,ROI Observation DateTime,DT,,remove,,,,,keep,func:hash_increment_date,,,,,
3006,0038,ROI Generation Description,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3006,0038)",@keep()
3006,004d,ROI Creator Sequence,SQ,,remove,,,,,,,,,,,
3006,004e,ROI Interpreter Sequence,SQ,,remove,,,,,,,,,,,
3006,0085,ROI Observation Label,SH,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3006,0085)",@keep()
3006,0088,ROI Observation Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3006,0088)",@keep()
3006,00a6,ROI Interpreter,PN,,blank,,,,,,,,,,"(3006,00A6)",@empty()
3006,00c2,Related Frame of Reference UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3006,00C2)","@hashuid(@UIDROOT,this)"
3008,0024,Treatment Control Point Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3008,0024)","@incrementdate(this,@DATEINC)"
3008,0025,Treatment Control Point Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(3008,0025)",@keep()
3008,0054,First Treatment Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3008,0054)","@incrementdate(this,@DATEINC)"
3008,0056,Most Recent Treatment Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3008,0056)","@incrementdate(this,@DATEINC)"
3008,0105,Source Serial Number,LO,,blank,,keep,,,,,,,,"(3008,0105)",@empty()
3008,0162,Safe Position Exit Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3008,0162)","@incrementdate(this,@DATEINC)"
3008,0164,Safe Position Exit Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(3008,0164)",@keep()
3008,0166,Safe Position Return Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3008,0166)","@incrementdate(this,@DATEINC)"
3008,0168,Safe Position Return Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(3008,0168)",@keep()
3008,0250,Treatment Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3008,0250)","@incrementdate(this,@DATEINC)"
3008,0251,Treatment Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(3008,0251)",@keep()
300a,0002,RT Plan Label,SH,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0002)",@keep()
300a,0003,RT Plan Name,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0003)",@keep()
300a,0004,RT Plan Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0004)",@keep()
300a,0006,RT Plan Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(300A,0006)","@incrementdate(this,@DATEINC)"
300a,0007,RT Plan Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(300A,0007)",@keep()
300a,000b,Treatment Sites,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,000B)",@keep()
300a,000e,Prescription Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,000E)",@keep()
300a,0013,Dose Reference UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(300A,0013)","@hashuid(@UIDROOT,this)"
300a,0016,Dose Reference Description,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0016)",@keep()
300a,0054,Table Top Position Alignment UID,UI,,func:generate_hashuid,keep,,,,,,,,,,
300a,0072,Fraction Group Description,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0072)",@keep()
300a,0083,Referenced Dose Reference UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(300A,0083)","@hashuid(@UIDROOT,this)"
300a,00b2,Treatment Machine Name,SH,,blank,,keep,,,,,,,,"(300A,00B2)",@empty()
300a,00c3,Beam Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,00C3)",@keep()
300a,00dd,Bolus Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,00DD)",@keep()
300a,0196,Fixation Device Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0196)",@keep()
300a,01a6,Shielding Device Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,01A6)",@keep()
300a,01b2,Setup Technique Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,01B2)",@keep()
300a,0216,Source Manufacturer,LO,,remove,,keep,,,,,,,,"(300A,0216)",@remove()
300a,022c,Source Strength Reference Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(300A,022C)","@incrementdate(this,@DATEINC)"
300a,022e,Source Strength Reference Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(300A,022E)",@keep()
300a,02eb,Compensator Description,LT,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,02EB)",@keep()
300a,0608,Treatment Position Group Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0608)",@keep()
300a,0609,Treatment Position Group UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(300A,0609)","@hashuid(@UIDROOT,this)"
300a,0611,RT Accessory Holder Slot ID,LO,,blank,,,,,,,,,,"(300A,0611)",@empty()
300a,0615,RT Accessory Device Slot ID,LO,,blank,,,,,,,,,,"(300A,0615)",@empty()
300a,0619,Radiation Dose Identification Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0619)",@keep()
300a,0623,Radiation Dose In-Vivo Measurement Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0623)",@keep()
300a,062a,RT Tolerance Set Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,062A)",@keep()
300a,0650,Patient Setup UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(300A,0650)","@hashuid(@UIDROOT,this)"
300a,0676,Equipment Frame of Reference Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0676)",@keep()
300a,067c,Radiation Generation Mode Label,SH,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,067C)",@keep()
300a,067d,Radiation Generation Mode Description,ST,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(300A,067D)",@keep()
300a,0700,Treatment Session UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(300A,0700)","@hashuid(@UIDROOT,this)"
300a,0734,Treatment Tolerance Violation Description,ST,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0734)",@keep()
300a,0736,Treatment Tolerance Violation DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(300A,0736)","@incrementdate(this,@DATEINC)"
300a,073a,Recorded RT Control Point DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(300A,073A)","@incrementdate(this,@DATEINC)"
300a,0741,Interlock DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(300A,0741)","@incrementdate(this,@DATEINC)"
300a,0742,Interlock Description,ST,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0742)",@keep()
300a,0760,Override DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(300A,0760)","@incrementdate(this,@DATEINC)"
300a,0783,Interlock Origin Description,ST,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0783)",@keep()
300a,0785,Referenced Treatment Position Group UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(300A,0785)","@hashuid(@UIDROOT,this)"
300a,078e,Patient Treatment Preparation Procedure Parameter Description,LT,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,078E)",@keep()
300a,0792,Patient Treatment Preparation Method Description,LT,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0792)",@keep()
300a,0794,Patient Setup Photo Description,LT,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,0794)",@keep()
300a,079a,Displacement Reference Label,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300A,079A)",@keep()
300c,0113,Reason for Omission Description,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(300C,0113)",@keep()
300c,0127,Beam Hold Transition DateTime,DT,,func:set_fixed_datetime,,keep,,,keep,func:hash_increment_date,,,,"(300C,0127)","@incrementdate(this,@DATEINC)"
300e,0004,Review Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(300E,0004)","@incrementdate(this,@DATEINC)"
300e,0005,Review Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(300E,0005)",@keep()
300e,0008,Reviewer Name,PN,,blank,,,,,,,,,,"(300E,0008)","REV-@hashname(this,4)"
3010,0006,Conceptual Volume UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3010,0006)","@hashuid(@UIDROOT,this)"
3010,000b,Referenced Conceptual Volume UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3010,000B)","@hashuid(@UIDROOT,this)"
3010,000f,Conceptual Volume Combination Description,ST,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3010,000F)",@keep()
3010,0013,Constituent Conceptual Volume UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3010,0013)","@hashuid(@UIDROOT,this)"
3010,0015,Source Conceptual Volume UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3010,0015)","@hashuid(@UIDROOT,this)"
3010,0017,Conceptual Volume Description,ST,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0017)",@keep()
3010,001b,Device Alternate Identifier,UC,,blank,,,,,,,,,,"(3010,001B)",@empty()
3010,002d,Device Label,LO,,replace,,keep,,,,,,,,"(3010,002D)",removed
3010,0031,Referenced Fiducials UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3010,0031)","@hashuid(@UIDROOT,this)"
3010,0033,User Content Label,SH,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0033)",@keep()
3010,0034,User Content Long Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0034)",@keep()
3010,0035,Entity Label,SH,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0035)",@keep()
3010,0036,Entity Name,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0036)",@keep()
3010,0037,Entity Description,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0037)",@keep()
3010,0038,Entity Long Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0038)",@keep()
3010,003b,RT Treatment Phase UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3010,003B)","@hashuid(@UIDROOT,this)"
3010,0043,Manufacturer's Device Identifier,ST,,blank,,keep,,,,,,,,"(3010,0043)",@empty()
3010,004c,Intended Phase Start Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3010,004C)","@incrementdate(this,@DATEINC)"
3010,004d,Intended Phase End Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(3010,004D)","@incrementdate(this,@DATEINC)"
3010,0054,RT Prescription Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0054)",@keep()
3010,0056,RT Treatment Approach Label,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0056)",@keep()
3010,005a,RT Physician Intent Narrative,UT,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3010,005A)",@keep()
3010,005c,Reason for Superseding,ST,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3010,005C)",@keep()
3010,0061,Prior Treatment Dose Description,UT,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0061)",@keep()
3010,006e,Dosimetric Objective UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3010,006E)","@hashuid(@UIDROOT,this)"
3010,006f,Referenced Dosimetric Objective UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(3010,006F)","@hashuid(@UIDROOT,this)"
3010,0077,Treatment Site,LO,,replace,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0077)",removed
3010,007a,Treatment Technique Notes,UT,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3010,007A)",@remove()
3010,007b,Prescription Notes,UT,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3010,007B)",@remove()
3010,007f,Fractionation Notes,UT,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3010,007F)",@remove()
3010,0081,Prescription Notes Sequence,SQ,,blank,,,,,,,func:clean_descriptors_with_llm,,,"(3010,0081)",@remove()
3010,0085,Intended Fraction Start Time,TM,,remove,,,,,keep,keep,,,,"(3010,0085)",@keep()
4000,0010,Arbitrary,LT,,remove,,,,,,,,,,"(4000,0010)",@remove()
4000,4000,Text Comments,LT,,remove,,,,,,,,,,"(4000,4000)",@remove()
4008,0040,Results ID,SH,,remove,,,,,,,,,,"(4008,0040)",@remove()
4008,0042,Results ID Issuer,LO,,remove,,,,,,,,,,"(4008,0042)",@remove()
4008,0100,Interpretation Recorded Date,DA,,remove,,,,,keep,func:hash_increment_date,,,,"(4008,0100)",@remove()
4008,0101,Interpretation Recorded Time,TM,,remove,,,,,keep,keep,,,,"(4008,0101)",@remove()
4008,0102,Interpretation Recorder,PN,,remove,,,,,,,,,,"(4008,0102)",@remove()
4008,0108,Interpretation Transcription Date,DA,,remove,,,,,keep,func:hash_increment_date,,,,"(4008,0108)",@remove()
4008,0109,Interpretation Transcription Time,TM,,remove,,,,,keep,keep,,,,"(4008,0109)",@remove()
4008,010a,Interpretation Transcriber,PN,,remove,,,,,,,,,,"(4008,010A)",@remove()
4008,010b,Interpretation Text,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(4008,010B)",@keep()
4008,010c,Interpretation Author,PN,,remove,,,,,,,,,,"(4008,010C)",@remove()
4008,0111,Interpretation Approver Sequence,SQ,,remove,,,,,,,,,,"(4008,0111)",@remove()
4008,0112,Interpretation Approval Date,DA,,remove,,,,,keep,func:hash_increment_date,,,,"(4008,0112)",@remove()
4008,0113,Interpretation Approval Time,TM,,remove,,,,,keep,keep,,,,"(4008,0113)",@remove()
4008,0114,Physician Approving Interpretation,PN,,remove,,,,,,,,,,"(4008,0114)",@remove()
4008,0115,Interpretation Diagnosis Description,LT,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(4008,0115)",@keep()
4008,0118,Results Distribution List Sequence,SQ,,remove,,,,,,,,,,"(4008,0118)",@remove()
4008,0119,Distribution Name,PN,,remove,,,,,,,,,,"(4008,0119)",@remove()
4008,011a,Distribution Address,LO,,remove,,,,,,,,,,"(4008,011A)",@remove()
4008,0200,Interpretation ID,SH,,remove,,,,,,,,,,"(4008,0200)",@remove()
4008,0202,Interpretation ID Issuer,LO,,remove,,,,,,,,,,"(4008,0202)",@remove()
4008,0300,Impressions,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(4008,0300)",@keep()
4008,4000,Results Comments,ST,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(4008,4000)",@keep()
50xx,xxxx,Curve Data,,,remove,,,,,,,,,clean_manually,"(50xx,xxxx)",Remove curves
60xx,3000,Overlay Data,,,remove,,,,,,,,,clean_manually,"(60xx,3000)",Remove Overlays
60xx,4000,Overlay Comments,,,remove,,,,,,,,,clean_manually,"(60xx,4000)",@remove()
fffa,fffa,Digital Signatures Sequence,SQ,,remove,,,,,,,,,,"(FFFA,FFFA)",@remove()
fffc,fffc,Data Set Trailing Padding,OB,,remove,,,,,,,,,,"(FFFC,FFFC)",@remove()
gggg,eeeewhereggggisodd,Private Attributes,,,remove,,,,,,,,,,"(gggg,eeee) where gggg is odd",Private Attributes are cleaned in Posda as part of curation
